Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
01-01-2022,Indiranagar,100 Feet Road,50590,50.23029856,1.5,100,100,0,151.18,70.6323302,84.04460047,85.40362889,111,Clear,No
01-01-2022,Indiranagar,CMH Road,30825,29.37712471,1.5,100,100,1,111.65,41.9248989,91.40703846,59.98368911,100,Clear,No
01-01-2022,Whitefield,Marathahalli Bridge,7399,54.47439821,1.039068846,28.34799386,36.39652494,0,64.798,44.66238371,61.37554084,95.4660201,189,Clear,No
01-01-2022,Koramangala,Sony World Junction,60874,43.81761039,1.5,100,100,1,171.748,32.77312315,75.54709159,63.56745159,111,Clear,No
01-01-2022,Koramangala,Sarjapur Road,57292,41.11676289,1.5,100,100,3,164.584,35.092601,64.63476238,93.15517129,104,Clear,No
01-01-2022,M.G. Road,Trinity Circle,47848,34.24196255,1.5,100,100,3,145.696,39.92787129,61.01676507,55.39457135,94,Overcast,No
01-01-2022,M.G. Road,Anil Kumble Circle,36574,29.98242956,1.5,100,100,3,123.148,72.47912989,81.57368968,90.37200776,115,Clear,No
01-01-2022,Jayanagar,Jayanagar 4th Block,25379,38.45517944,1.5,79.03882288,100,2,100.758,46.31534352,88.12075836,68.18148012,92,Clear,No
01-01-2022,Jayanagar,South End Circle,25022,35.03937304,1.5,78.97959595,100,1,100.044,44.26169322,99.42601816,62.10276358,105,Clear,No
01-01-2022,Hebbal,Hebbal Flyover,31760,56.90455626,1.5,97.67246207,100,1,113.52,12.85425991,83.63571773,83.87821809,91,Clear,No
01-01-2022,Hebbal,Ballari Road,38446,26.14487626,1.5,100,100,3,126.892,48.86405681,81.18602313,62.09261455,84,Overcast,No
01-01-2022,Yeshwanthpur,Yeshwanthpur Circle,15043,47.96984673,1.35483457,55.74084425,76.63531646,0,80.086,21.31400999,95.94216754,80.32145298,105,Clear,No
01-02-2022,Indiranagar,100 Feet Road,22050,52.87084604,1.130159879,78.4298281,100,3,94.1,35.74010621,70.60809471,62.19948217,115,Fog,No
01-02-2022,Indiranagar,CMH Road,37877,26.42842444,1.5,100,100,1,125.754,75.8321009,98.15714308,95.74321951,96,Overcast,No
01-02-2022,Koramangala,Sarjapur Road,29106,43.56398794,1.5,90.40985493,100,3,108.212,53.05050587,99.602154,57.00420076,100,Fog,No
01-02-2022,M.G. Road,Trinity Circle,53217,37.57207491,1.5,100,100,5,156.434,33.65966098,75.02331811,54.69909699,102,Clear,No
01-02-2022,M.G. Road,Anil Kumble Circle,37584,45.88950597,1.5,100,100,2,125.168,15.97432255,62.06726885,76.56773158,101,Fog,No
01-02-2022,Jayanagar,Jayanagar 4th Block,16676,53.52433335,1.175588568,47.15579429,78.63350743,2,83.352,38.62670611,66.9317728,57.82185213,92,Fog,No
01-02-2022,Jayanagar,South End Circle,37509,51.51350986,1.5,100,100,1,125.018,63.04922773,60.57573955,55.80363203,76,Overcast,No
01-02-2022,Hebbal,Hebbal Flyover,6758,34.75612359,1.069280748,21.20369965,32.77504734,1,63.516,13.17128068,74.98450459,81.29299579,200,Rain,No
01-02-2022,Hebbal,Ballari Road,30209,31.14686403,1.5,100,100,2,110.418,48.19317525,97.65859235,69.30513189,90,Clear,Yes
01-02-2022,Yeshwanthpur,Yeshwanthpur Circle,20375,40.06999065,1.337950124,58.38210538,100,0,90.75,18.27153793,87.86948661,81.44714234,113,Overcast,No
01-02-2022,Yeshwanthpur,Tumkur Road,15636,32.79429896,1.310565184,48.93607081,82.48757326,1,81.272,62.56097475,90.18171496,55.15619344,115,Overcast,No
01-03-2022,Indiranagar,100 Feet Road,23457,38.86905317,1.380024787,87.20214294,100,2,96.914,33.00651818,86.90073824,87.61872647,109,Clear,No
